date,dish,url,servings,recipe
2020-01-01,Kipwraps met honingmosterdsaus,https://www.ah.nl/allerhande/recept/R-R1189360/kipwraps-met-honingmosterdsaus,4 personen,"Verhit de olie in een koekenpan en bak de kipschnitzels 8 min. op middelhoog vuur. Keer halverwege. Neem uit de pan en snijd in reepjes.  Snijd ondertussen de tomaten in dunne partjes en de bieslook fijn.  Meng de helft van de bieslook samen met de mayonaise en mosterd tot een saus.  Verwarm de wraps volgens de aanwijzingen op de verpakking Verdeel de sla, kip en tomaat over de wraps. Besprenkel met de saus en bestrooi met de rest van de bieslook. Serveer direct."
2020-01-02,Reuben sandwich pastrami,https://www.ah.nl/allerhande/recept/R-R1186506/reuben-sandwich-pastrami,4 personen,"Verhit een koekenpan zonder olie of boter en rooster het karwijzaad 3 min. op middelhoog vuur. Neem uit de pan en laat afkoelen. Laat de zuurkool uitlekken in een vergiet en meng het karwijzaad erdoor. Snijd het kapje van het brood. Snijd per persoon 2 sneetjes van 1½ cm dik. Bestrijk per persoon 1 sneetje brood met 2 el sladressing. Bedek de niet-besmeerde sneetjes brood achtereenvolgens met helft van de pastrami, de zuurkool, kaas en de rest van de pastrami. Dek af met de rest van het brood met de besmeerde kant naar beneden. Bestrijk de onder- en bovenkant van elke sandwich met de boter. Verhit de grillpan zonder olie of boter en gril de sandwiches in 10 min. op middelhoog vuur goudbruin. Keer halverwege. Halveer de sandwiches en serveer met de cornichons."
2020-01-03,Geitenkaassalade met blauwe bessen-balsamicodressing,https://www.ah.nl/allerhande/recept/R-R1192438/geitenkaassalade-met-blauwe-bessen-balsamicodressing,4 personen,"Kook de aspergetips in 1 min. beetgaar in een laag kokend water met zout naar smaak. Giet af in een zeef en spoel koud onder de kraan. Rooster de hazelnoten in een droge koekenpan zonder olie of boter in 6 min. goudbruin. Schud ze regelmatig om. Laat de noten iets afkoelen en hak grof. Doe ⅔ van de blauwe bessen met de balsamico, honing en de olijfolie in een hoge beker en pureer met de staafmixer tot een dressing. Breng op smaak met (versgemalen) peper en eventueel zout. Snijd de rol geitenkaas in plakjes (2 per persoon). Verhit een koekenpan en bak de plakjes geitenkaas in 1 min. goudbruin op middelhoog vuur. Keer na 30 sec. Verdeel de misticanza slamelange en de aspergetips over een platte schaal. Besprenkel met de dressing en schep voorzichtig om. Verdeel de warme geitenkaas, gehakte hazelnoten en de rest van de blauwe bessen erover en serveer."
2020-01-06,"Pittige pastasalade met kip, mango en komkommer ",https://www.ah.nl/allerhande/recept/R-R1193361/pittige-pastasalade-met-kip-mango-en-komkommer,4 personen,"Kook de pasta volgens de aanwijzingen op de verpakking beetgaar. Giet af en spoel onder koud stromend water. Laat goed uitlekken. Halveer ondertussen de paprika, verwijder de steelaanzet en zaadlijsten en snijd het vruchtvlees in dunne repen. Halveer de repen in de breedte. Snijd de komkommers in de lengte in 4 parten en halveer in de breedte. Verwijder de steelaanzet van de rode peper en snijd het vruchtvlees in ringen. Snijd de peterselie fijn. Meng de kip-mangosalade door de pasta. Verdeel de paprika, komkommer, stukjes mango en peterselie erover en schep voorzichtig erdoor. Bestrooi met de rode-peperringen."
2020-01-07,Vegan Bánh mì ,https://www.ah.nl/allerhande/recept/R-R1190451/vegan-banh-mi,4 personen,"Snijd de rettich tot dunnere reepjes door elk stukje in de lengte in 4 stukken te snijden.  Schep samen met de peen in een lage kom. Verdeel de sushiazijn erover en bestrooi met wat zout. Laat minimaal 20 min. staan en schep elke 5 min. om.  Verwarm de oven voor op 200 °C en bak de pistoletjes volgens de aanwijzingen op de verpakking.  Snijd ondertussen de tempeh in de breedte in plakken van een ½ cm en vervolgens de plakken in de breedte in korte reepjes. Schil en rasp de gember. Verhit de arachideolie in en hapjespan en bak de tempeh, gember, 5 spice en srirachasaus 10 min. op middelhoog vuur goudbruin en krokant. Schep regelmatig om.  Voeg de sesamolie toe, schep om en zet het vuur uit. Breng op smaak met peper en zout. Haal ondertussen de blaadjes van de koriander en munt. Snijd de rode peper in dunne ringetjes. Laat de rauwkost uitlekken. Neem de broodjes uit de oven en snijd open. Besmeer met de mayonaise en beleg met de tempeh, rauwkost en koriander, munt en peperringetjes. "
2020-01-08,Easy piadina pizza met spianata romana,https://www.ah.nl/allerhande/recept/R-R1188672/easy-piadina-pizza-met-spianata-romana,4 personen,"Halveer de cherrytomaten. Snijd de olijven grof en de spianata romana in grove stukken. Verhit 2 pannen zonder olie of boter op middelhoog vuur. Leg in elke pan 1 piadina. Keer na 1 min.  Verdeel de helft van de pizzasaus over de piadine in de pan. Verdeel de helft van de olijven, spianata en cherrytomaten over de saus. Neem na 4 min. de piadine uit de pan. Herhaal deze stap. Snijd de basilicumblaadjes grof. Schaaf de kaas en verdeel samen met het basilicum over de piadine."
2020-01-09,Pindakaas-smoothiebowl,https://www.ah.nl/allerhande/recept/R-R1190329/pindakaas-smoothiebowl,2 personen,"Meng pindakaas, banaan en havermelk in de blender. Hak de noten grof. Verdeel over de kommen en bestrooi met de noten en het chiazaad."
2020-01-10,Havermoutpannenkoeken met banaan en kaneel,https://www.ah.nl/allerhande/recept/R-R1190705/havermoutpannenkoeken-met-banaan-en-kaneel,8 porties," Maal de havermout met het zout heel fijn in de keukenmachine. Dit duurt een paar minuten. Prak de bananen. Klop in een kom de eieren, geprakte bananen, havermoutmelk en kaneel met een garde door de havermout.  Verhit telkens 1 tl olie in de koekenpan op hoog vuur en bak 2 à 3 dikke pannenkoeken van ca. Ø 10 cm (American pancakes). Bak de pannenkoeken aan beide kanten in. ca. 3 min. goudbruin en gaar. Bak zo nog 2 porties. Serveer met de kokosyoghurt en honing."
2020-01-13,Rotirol,https://www.ah.nl/allerhande/recept/R-R1193474/rotirol,4 porties,"Snijd de kipdijfilet in reepjes van ca. 3 cm. Verhit de helft van de arachideolie in een hapjespan en bak de kip 5 min. op middelhoog vuur. Snipper ondertussen de ui. Snijd de knoflook fijn. Snijd de tomaten in blokjes. Schep de kip op een bord. Bak de ui en knoflook 2 min. in het achtergebleven bakvet. Voeg de Nandan massala toe en bak 30 sec. mee. Voeg de tomatenblokjes, bouillontablet, Madame Jeanette peper en de helft van het water toe en breng al roerend aan de kook. Voeg de gebakken kip toe aan de saus en laat met het deksel op de pan in 40 min. stoven. Roer regelmatig. Schil ondertussen de aardappelen en snijd in stukken van ca. 2 cm. Voeg de laatste 20 min. toe aan het massala-kipmengsel. Kook de eieren 9 min. Laat schrikken onder koud stromend water en pel ze. Snijd de kousenband in stukjes van 2 cm. Verhit de rest van de olie in een wok of koekenpan en roerbak de kousenband 1 min. Voeg de rest van het water toe en roerbak 5 min. Verwijder de peper uit de kip. Snijd de eieren in de lengte in kwarten. Verwarm de rotivellen volgens de aanwijzingen op de verpakking. Schep de massalakip, de kousenband en de eieren op een rotivel en rol strak op."
2020-01-14,Caesarsalade met witte asperges,https://www.ah.nl/allerhande/recept/R-R1193695/caesarsalade-met-witte-asperges,4 personen," Schil de asperges rondom met een dunschiller vanaf vlak onder het kopje naar beneden. Snijd 2 cm van de houtachtige onderkant en snijd de asperges in stukken van 4 cm. Kook 8 min. in ruim water met eventueel zout. Kook ondertussen de eieren in 7 min. bijna hard. Giet de asperges af. Laat de eieren schrikken onder koud stromend water, pel en halveer overlangs.  Haal de blaadjes van de kropjes romainesla los, snijd ze in lange repen en verdeel over een platte schaal. Pers de citroen uit. Snijd ⅕ van de ansjovisfilets heel fijn.   Klop de mayonaise met 2 el citroensap (per 4 personen), de fijngesneden ansjovis en de mosterd met een garde los in een kom. Voeg druppelsgewijs de olie toe. Breng de dressing op smaak met peper. Verdeel de asperges, eieren, de rest van de ansjovisfilets, de dressing, croutons en kaas over de sla."
